iter,seed,n_agents,estimator,p,snd_t,snd_des,reward_mean,metric_time_ms,scaling_ratio_mean,applied_snd,out_loc_norm_mean
0,0,50,full,1.0,nan,-1.0,0.21533332765102386,nan,1.0,nan,0.0
1,0,50,full,1.0,nan,-1.0,0.22341667115688324,nan,1.0,nan,0.0
2,0,50,full,1.0,nan,-1.0,0.23375000059604645,nan,1.0,nan,0.0
3,0,50,full,1.0,nan,-1.0,0.24241666495800018,nan,1.0,nan,3.475761633241769e-10
4,0,50,full,1.0,nan,-1.0,0.25191667675971985,nan,1.0,nan,0.0
5,0,50,full,1.0,nan,-1.0,0.26608332991600037,nan,1.0,nan,8.219833425438383e-09
6,0,50,full,1.0,nan,-1.0,0.2745000123977661,nan,1.0,nan,4.3473502143238145e-08
7,0,50,full,1.0,nan,-1.0,0.2863333225250244,nan,1.0,nan,2.1080059209310775e-08
8,0,50,full,1.0,nan,-1.0,0.2944166660308838,nan,1.0,nan,6.728955477212866e-08
9,0,50,full,1.0,nan,-1.0,0.30674999952316284,nan,1.0,nan,7.239754277250161e-08
10,0,50,full,1.0,nan,-1.0,0.31683334708213806,nan,1.0,nan,1.5976467067365922e-07
11,0,50,full,1.0,nan,-1.0,0.32341668009757996,nan,1.0,nan,3.076965199822335e-07
12,0,50,full,1.0,nan,-1.0,0.32633334398269653,nan,1.0,nan,1.181576255673319e-06
13,0,50,full,1.0,nan,-1.0,0.3373333215713501,nan,1.0,nan,6.086148142639928e-07
14,0,50,full,1.0,nan,-1.0,0.3464166522026062,nan,1.0,nan,1.2205996014866991e-06
15,0,50,full,1.0,nan,-1.0,0.35233333706855774,nan,1.0,nan,2.0354796997098153e-06
16,0,50,full,1.0,nan,-1.0,0.36033332347869873,nan,1.0,nan,2.123371109155717e-06
17,0,50,full,1.0,nan,-1.0,0.3608333468437195,nan,1.0,nan,1.6432774141000655e-06
18,0,50,full,1.0,nan,-1.0,0.3695833384990692,nan,1.0,nan,4.674437582134298e-06
19,0,50,full,1.0,nan,-1.0,0.36399999260902405,nan,1.0,nan,5.503527978557083e-06
20,0,50,full,1.0,nan,-1.0,0.37691667675971985,nan,1.0,nan,4.97238319133607e-06
21,0,50,full,1.0,nan,-1.0,0.3725833296775818,nan,1.0,nan,6.427786342043539e-06
22,0,50,full,1.0,nan,-1.0,0.3816666603088379,nan,1.0,nan,9.343835456358344e-06
23,0,50,full,1.0,nan,-1.0,0.3878333270549774,nan,1.0,nan,6.634287643448579e-06
24,0,50,full,1.0,nan,-1.0,0.3929166793823242,nan,1.0,nan,8.487820285815225e-06
25,0,50,full,1.0,nan,-1.0,0.39258334040641785,nan,1.0,nan,8.822711573849326e-06
26,0,50,full,1.0,nan,-1.0,0.398333340883255,nan,1.0,nan,9.869855357549197e-06
27,0,50,full,1.0,nan,-1.0,0.4050833284854889,nan,1.0,nan,1.1436828120965689e-05
28,0,50,full,1.0,nan,-1.0,0.4079166650772095,nan,1.0,nan,1.6904244739845563e-05
29,0,50,full,1.0,nan,-1.0,0.40583333373069763,nan,1.0,nan,1.3372790108005743e-05
30,0,50,full,1.0,nan,-1.0,0.40525001287460327,nan,1.0,nan,2.3012896110580423e-05
31,0,50,full,1.0,nan,-1.0,0.41183334589004517,nan,1.0,nan,2.0975623842987178e-05
32,0,50,full,1.0,nan,-1.0,0.4075833261013031,nan,1.0,nan,1.4579007169383355e-05
33,0,50,full,1.0,nan,-1.0,0.4205833375453949,nan,1.0,nan,1.7527408411516025e-05
34,0,50,full,1.0,nan,-1.0,0.4169166684150696,nan,1.0,nan,2.498251170958678e-05
