iter,seed,n_agents,estimator,p,snd_t,snd_des,reward_mean,metric_time_ms,scaling_ratio_mean,applied_snd,out_loc_norm_mean,iter_time_ms
0,0,50,full,1.0,0.23427243530750275,0.15000000596046448,0.21533332765102386,18.54693905096846,0.7322441090036321,0.17154461065585339,0.0,52445.678827993106
1,0,50,full,1.0,0.28641775250434875,0.15000000596046448,0.2045000046491623,18.512843921780586,0.5806375569767422,0.16630490408889426,0.0,52371.98465998517
2,0,50,full,1.0,0.33456137776374817,0.15000000596046448,0.20233333110809326,18.562399510820224,0.4842402219772339,0.1620080758333266,0.0,52402.47496502707
3,0,50,full,1.0,0.3785031735897064,0.15000000596046448,0.20658333599567413,18.546910138145364,0.4207409061767437,0.1592517682469064,0.0,52418.21928397985
4,0,50,full,1.0,0.41174888610839844,0.15000000596046448,0.19866666197776794,19.492498903612915,0.3801898939741982,0.15654276535354622,0.0,52660.48252501059
5,0,50,full,1.0,0.44660812616348267,0.15000000596046448,0.20783333480358124,18.855833103750935,0.34957159967334184,0.15612151709008232,0.0,52488.16190101206
6,0,50,full,1.0,0.4810473918914795,0.15000000596046448,0.21416667103767395,18.636455407788702,0.32356090987170183,0.15564813181181622,0.0,52428.38775302516
7,0,50,full,1.0,0.5203046798706055,0.15000000596046448,0.22075000405311584,18.728742259338983,0.29991981707237386,0.15604968440869205,0.0,52601.14105499815
8,0,50,full,1.0,0.5650373101234436,0.15000000596046448,0.22466666996479034,19.232040801715037,0.2767908470498191,0.1563971556838193,3.312705655571184e-10,52639.51873895712
9,0,50,full,1.0,0.62014240026474,0.15000000596046448,0.24283333122730255,19.469635590643588,0.25302380003311015,0.15691078667663852,2.9166123120764836e-08,52658.166969020385
10,0,50,full,1.0,0.6647109389305115,0.15000000596046448,0.23600000143051147,19.17546758281619,0.23362111703113272,0.15529051205575914,1.2124935774745946e-08,52569.1831279546
11,0,50,full,1.0,0.7284928560256958,0.15000000596046448,0.23675000667572021,19.119062069242958,0.21476674593157238,0.15645604012303616,0.0,52552.941323956475
12,0,50,full,1.0,0.7692960500717163,0.15000000596046448,0.2304166704416275,18.581903780189652,0.20038889033926857,0.15415838181625363,5.556517661727452e-09,52406.901376962196
13,0,50,full,1.0,0.8172944784164429,0.15000000596046448,0.2397499978542328,18.517717189172767,0.1891816313619967,0.15461710272997486,1.2220101210771274e-09,52393.617074994836
14,0,50,full,1.0,0.8756960034370422,0.15000000596046448,0.24500000476837158,18.735033426545904,0.1771735401617156,0.15515016103440665,8.531584507692141e-09,52616.17001704872
15,0,50,full,1.0,0.9454288482666016,0.15000000596046448,0.2433333396911621,19.20231611023795,0.1648799988406676,0.15588230740613096,3.913803638996335e-08,52583.70747597655
16,0,50,full,1.0,1.0066388845443726,0.15000000596046448,0.2539166808128357,19.200866553216688,0.15379877189795177,0.15481982418764856,4.862767046357011e-08,52585.11833497323
17,0,50,full,1.0,1.0545098781585693,0.15000000596046448,0.24916666746139526,18.643257878634525,0.14560417930285136,0.15354104537602828,5.155146507715489e-08,52435.72165095247
18,0,50,full,1.0,1.1299020051956177,0.15000000596046448,0.24508333206176758,18.65230533488405,0.13712278919087517,0.15493531446478584,4.005988413547852e-09,52433.556780044455
19,0,50,full,1.0,1.195055603981018,0.15000000596046448,0.2630833387374878,18.71671721714342,0.12919291307528813,0.15439271476525562,3.1825668850859203e-08,52613.387771009
20,0,50,full,1.0,1.2467868328094482,0.15000000596046448,0.25450000166893005,18.91353517938923,0.12291248355198789,0.1532456660805264,1.6066942952166732e-08,52529.78489099769
21,0,50,full,1.0,1.3286540508270264,0.15000000596046448,0.2524999976158142,19.478926386390985,0.11619606489936511,0.1543843723187015,3.338389555495735e-08,52653.58784998534
22,0,50,full,1.0,1.3886620998382568,0.15000000596046448,0.2604166567325592,18.850988221647977,0.11050436957566827,0.1534532298962503,6.498416218089672e-08,52476.513716974296
23,0,50,full,1.0,1.4749811887741089,0.15000000596046448,0.25325000286102295,18.58993649495662,0.10467835140449029,0.154398599193509,1.814092725133315e-08,52413.56435394846
24,0,50,full,1.0,1.5443310737609863,0.15000000596046448,0.26116666197776794,18.734597058802912,0.09932846951263923,0.15339604197748952,5.779508824877803e-09,52612.23645199789
25,0,50,full,1.0,1.5894345045089722,0.15000000596046448,0.25591665506362915,19.24374671588238,0.09588926086823145,0.15240969983582903,4.0772952536872044e-09,52627.68711603712
26,0,50,full,1.0,1.6591790914535522,0.15000000596046448,0.25583332777023315,19.575780781667195,0.09226481028729015,0.15308384410560044,8.329934413024657e-09,52690.14140503714
