iter,seed,n_agents,estimator,p,snd_t,snd_des,reward_mean,metric_time_ms
0,0,16,graph_p025,0.25,0.03292698785662651,0.5,0.0004322947934269905,0.4847409650816796
1,0,16,graph_p025,0.25,0.03522690758109093,0.5,0.0016959983622655272,0.495155350793517
2,0,16,graph_p025,0.25,0.10028726607561111,0.5,0.004063134081661701,0.4882594761882263
3,0,16,graph_p025,0.25,0.42525941133499146,0.5,0.006146699655801058,0.481810479371212
4,0,16,graph_p025,0.25,0.831125020980835,0.5,0.006865378934890032,0.49165956270191224
5,0,16,graph_p025,0.25,1.2926512956619263,0.5,0.006909539923071861,0.5147972793632483
6,0,16,graph_p025,0.25,1.823655366897583,0.5,0.006999535020440817,0.5442803849222949
7,0,16,graph_p025,0.25,2.4657957553863525,0.5,0.007025433704257011,0.4781740619035999
8,0,16,graph_p025,0.25,3.225492477416992,0.5,0.007045952137559652,0.5473425047633043
9,0,16,graph_p025,0.25,4.1581645011901855,0.5,0.007123272866010666,0.49112974365258083
10,0,16,graph_p025,0.25,5.189147472381592,0.5,0.007195980288088322,0.5161845150808635
11,0,16,graph_p025,0.25,6.328647613525391,0.5,0.007269132882356644,0.5285312825390426
12,0,16,graph_p025,0.25,7.656155586242676,0.5,0.007453660015016794,0.6158865904752467
13,0,16,graph_p025,0.25,9.030414581298828,0.5,0.007500592153519392,0.5239663333320153
14,0,16,graph_p025,0.25,10.469531059265137,0.5,0.007601586636155844,0.5525599753972139
15,0,16,graph_p025,0.25,12.022329330444336,0.5,0.007582476828247309,0.49999422777394403
16,0,16,graph_p025,0.25,13.685493469238281,0.5,0.007770151365548372,0.5537698000006501
17,0,16,graph_p025,0.25,15.357821464538574,0.5,0.007755956146866083,0.49761225317351565
18,0,16,graph_p025,0.25,16.946754455566406,0.5,0.007874831557273865,0.5449262611149506
19,0,16,graph_p025,0.25,18.722122192382812,0.5,0.007982713170349598,0.4827223174598903
20,0,16,graph_p025,0.25,20.39263153076172,0.5,0.007958623580634594,0.5454145238104502
21,0,16,graph_p025,0.25,22.029752731323242,0.5,0.008065016008913517,0.5492574690498215
22,0,16,graph_p025,0.25,23.832548141479492,0.5,0.008129690773785114,0.48778679920649176
23,0,16,graph_p025,0.25,25.507356643676758,0.5,0.00817176140844822,0.4965476166702617
24,0,16,graph_p025,0.25,27.253440856933594,0.5,0.008254660293459892,0.4895583190441285
25,0,16,graph_p025,0.25,28.89505386352539,0.5,0.008328494615852833,0.49442086667387763
26,0,16,graph_p025,0.25,30.604961395263672,0.5,0.008401555940508842,0.5421241920614539
27,0,16,graph_p025,0.25,32.39053726196289,0.5,0.008500439114868641,0.5127593253973828
28,0,16,graph_p025,0.25,34.00889587402344,0.5,0.008482392877340317,0.5188399658732484
29,0,16,graph_p025,0.25,35.566043853759766,0.5,0.008599874563515186,0.5250008428523264
30,0,16,graph_p025,0.25,37.31254196166992,0.5,0.008735750801861286,1.343817861120875
31,0,16,graph_p025,0.25,38.79533767700195,0.5,0.008766387589275837,1.402562489681533
32,0,16,graph_p025,0.25,40.47924041748047,0.5,0.008803621865808964,0.5179970872989413
33,0,16,graph_p025,0.25,42.129573822021484,0.5,0.0088999317958951,0.5801598658770615
34,0,16,graph_p025,0.25,43.717411041259766,0.5,0.00893205776810646,0.5963892246098921
35,0,16,graph_p025,0.25,45.31644058227539,0.5,0.009032322093844414,1.4121420372981044
36,0,16,graph_p025,0.25,46.784461975097656,0.5,0.00904526375234127,1.0817676317480893
37,0,16,graph_p025,0.25,48.3927116394043,0.5,0.00908373761922121,0.5222499682592988
38,0,16,graph_p025,0.25,49.9266357421875,0.5,0.009101682342588902,0.5504832587290828
39,0,16,graph_p025,0.25,51.222068786621094,0.5,0.009167997166514397,0.5472628000006807
40,0,16,graph_p025,0.25,52.684818267822266,0.5,0.009267577901482582,0.5610975706394317
41,0,16,graph_p025,0.25,54.15117263793945,0.5,0.009251993149518967,0.5912280619126943
42,0,16,graph_p025,0.25,55.886634826660156,0.5,0.009337497875094414,0.5237880420584892
43,0,16,graph_p025,0.25,57.215518951416016,0.5,0.009310332126915455,0.5675769944359456
44,0,16,graph_p025,0.25,58.47987365722656,0.5,0.009333872236311436,0.5012541420675973
45,0,16,graph_p025,0.25,59.877716064453125,0.5,0.009390005841851234,0.5355089817453879
46,0,16,graph_p025,0.25,61.38096618652344,0.5,0.00951734185218811,0.557775597622995
47,0,16,graph_p025,0.25,62.713890075683594,0.5,0.009508196264505386,0.6011616817478704
48,0,16,graph_p025,0.25,64.0735855102539,0.5,0.009493195451796055,0.49807618492563743
49,0,16,graph_p025,0.25,65.24043273925781,0.5,0.009431158192455769,0.5167385888990605
50,0,16,graph_p025,0.25,66.6572036743164,0.5,0.009534548036754131,0.49904974681693504
51,0,16,graph_p025,0.25,67.91887664794922,0.5,0.009555816650390625,0.8543896079377841
52,0,16,graph_p025,0.25,69.19532012939453,0.5,0.009602116420865059,0.6123129817416113
53,0,16,graph_p025,0.25,70.30835723876953,0.5,0.009571236558258533,0.6342116642906422
54,0,16,graph_p025,0.25,71.75788879394531,0.5,0.009675754234194756,0.5467917309531567
55,0,16,graph_p025,0.25,72.9267349243164,0.5,0.009652101434767246,0.5575969698362487
56,0,16,graph_p025,0.25,74.3189697265625,0.5,0.00975915975868702,0.5729992460269314
57,0,16,graph_p025,0.25,75.38058471679688,0.5,0.009746866300702095,0.6178487230196575
58,0,16,graph_p025,0.25,76.491943359375,0.5,0.009751630015671253,0.5553304412625861
59,0,16,graph_p025,0.25,77.86791229248047,0.5,0.009759100154042244,0.6314967460386671
60,0,16,graph_p025,0.25,78.93910217285156,0.5,0.009749505668878555,0.591050239707271
61,0,16,graph_p025,0.25,80.13115692138672,0.5,0.009760634042322636,0.542716787310657
62,0,16,graph_p025,0.25,81.2335205078125,0.5,0.009843154810369015,0.545694050804972
63,0,16,graph_p025,0.25,82.38748931884766,0.5,0.009824655018746853,0.5815176801748055
64,0,16,graph_p025,0.25,83.5081558227539,0.5,0.009823448024690151,0.5576150190473339
65,0,16,graph_p025,0.25,84.56492614746094,0.5,0.009881140664219856,0.5486594301449562
66,0,16,graph_p025,0.25,85.7213134765625,0.5,0.009869649074971676,0.5514207015992378
67,0,16,graph_p025,0.25,87.01729583740234,0.5,0.009964399971067905,0.5312763007991418
68,0,16,graph_p025,0.25,88.18228912353516,0.5,0.009895369410514832,0.5576167246075899
69,0,16,graph_p025,0.25,89.01446533203125,0.5,0.009977627545595169,0.5418232388819888
70,0,16,graph_p025,0.25,89.71137237548828,0.5,0.009916617535054684,0.5509813666704426
71,0,16,graph_p025,0.25,91.26345825195312,0.5,0.009973978623747826,0.5401857634932106
72,0,16,graph_p025,0.25,92.10684967041016,0.5,0.010001344606280327,0.5492373714166624
73,0,16,graph_p025,0.25,93.25731658935547,0.5,0.009978102520108223,0.542366628561857
74,0,16,graph_p025,0.25,94.1329116821289,0.5,0.009979309514164925,0.5367014777690086
75,0,16,graph_p025,0.25,95.47993469238281,0.5,0.010062666609883308,0.6125864388679243
76,0,16,graph_p025,0.25,96.22059631347656,0.5,0.010017930530011654,0.5452546650628521
77,0,16,graph_p025,0.25,97.43971252441406,0.5,0.01004063431173563,0.5503944190473299
78,0,16,graph_p025,0.25,98.05366516113281,0.5,0.010043105110526085,0.5440702095198965
79,0,16,graph_p025,0.25,99.1015853881836,0.5,0.010193430818617344,0.5456622936623124
80,0,16,graph_p025,0.25,100.42999267578125,0.5,0.009993553161621094,0.5402176531846173
81,0,16,graph_p025,0.25,101.5866928100586,0.5,0.01008590217679739,0.5524117952229554
82,0,16,graph_p025,0.25,102.01849365234375,0.5,0.010035925544798374,0.5371973270073449
83,0,16,graph_p025,0.25,103.59291076660156,0.5,0.010068458504974842,0.5447368936334637
84,0,16,graph_p025,0.25,104.19197845458984,0.5,0.010070115327835083,0.540002832536225
85,0,16,graph_p025,0.25,105.00753784179688,0.5,0.010045310482382774,0.5478575738134313
86,0,16,graph_p025,0.25,106.10188293457031,0.5,0.010135103017091751,0.5598608031822738
87,0,16,graph_p025,0.25,106.85415649414062,0.5,0.010131236165761948,0.5420806468276761
88,0,16,graph_p025,0.25,107.88310241699219,0.5,0.010188759304583073,0.6629147238007655
89,0,16,graph_p025,0.25,108.67139434814453,0.5,0.010076621547341347,0.5845035214399161
90,0,16,graph_p025,0.25,109.84111022949219,0.5,0.010198846459388733,0.5644151730213331
91,0,16,graph_p025,0.25,110.80436706542969,0.5,0.01013849675655365,0.5482782865040045
92,0,16,graph_p025,0.25,111.65464782714844,0.5,0.010152149014174938,0.6148537436426219
93,0,16,graph_p025,0.25,112.2542495727539,0.5,0.010205657221376896,0.5538055198341016
94,0,16,graph_p025,0.25,113.25624084472656,0.5,0.010154807940125465,0.5741594373058245
95,0,16,graph_p025,0.25,114.11394500732422,0.5,0.010158893652260303,0.7002857690384277
96,0,16,graph_p025,0.25,115.33182525634766,0.5,0.01015015784651041,0.6952425992155425
97,0,16,graph_p025,0.25,116.09722137451172,0.5,0.010196504183113575,0.6054680746093788
98,0,16,graph_p025,0.25,116.687744140625,0.5,0.010155007243156433,0.6033291190616428
99,0,16,graph_p025,0.25,117.75239562988281,0.5,0.010134403593838215,0.6402580690483153
100,0,16,graph_p025,0.25,118.47449493408203,0.5,0.010188759304583073,0.7635597722056113
101,0,16,graph_p025,0.25,119.37451171875,0.5,0.01028528530150652,0.6062121881054087
102,0,16,graph_p025,0.25,119.96646881103516,0.5,0.010225748643279076,0.5744624317440101
103,0,16,graph_p025,0.25,120.52249908447266,0.5,0.010251497849822044,0.6083396611028014
104,0,16,graph_p025,0.25,121.55726623535156,0.5,0.010221358388662338,0.6288242531643354
105,0,16,graph_p025,0.25,122.34208679199219,0.5,0.010192767716944218,0.602648527783025
106,0,16,graph_p025,0.25,123.61894226074219,0.5,0.010246321558952332,0.5456990380942386
107,0,16,graph_p025,0.25,123.87564849853516,0.5,0.010194008238613605,0.6301779492101588
108,0,16,graph_p025,0.25,124.74246215820312,0.5,0.010240324772894382,0.6879393761837924
109,0,16,graph_p025,0.25,125.75300598144531,0.5,0.010268227197229862,0.5443590317655536
110,0,16,graph_p025,0.25,126.59601593017578,0.5,0.010283703915774822,0.5852923658739966
111,0,16,graph_p025,0.25,127.9356460571289,0.5,0.010305903851985931,0.5492380848986541
112,0,16,graph_p025,0.25,128.39418029785156,0.5,0.0102935079485178,0.6243820523845248
113,0,16,graph_p025,0.25,128.68443298339844,0.5,0.010273776948451996,0.6111037801669487
114,0,16,graph_p025,0.25,129.70899963378906,0.5,0.010281803086400032,0.7089069126734449
115,0,16,graph_p025,0.25,130.39112854003906,0.5,0.010295822285115719,0.6374025778010642
116,0,16,graph_p025,0.25,130.94859313964844,0.5,0.010271928273141384,0.5686721063371113
117,0,16,graph_p025,0.25,131.90040588378906,0.5,0.01032018568366766,0.624743348368019
118,0,16,graph_p025,0.25,132.83949279785156,0.5,0.010348955169320107,0.6361091317124928
119,0,16,graph_p025,0.25,133.44935607910156,0.5,0.01024206168949604,0.7136344547486968
120,0,16,graph_p025,0.25,134.55490112304688,0.5,0.010322869755327702,0.544811830163131
121,0,16,graph_p025,0.25,135.2325897216797,0.5,0.010414406657218933,0.5652408404626291
122,0,16,graph_p025,0.25,135.4488525390625,0.5,0.010278133675456047,0.6804176658382252
123,0,16,graph_p025,0.25,136.60226440429688,0.5,0.010311353951692581,0.5470514626953417
124,0,16,graph_p025,0.25,137.10577392578125,0.5,0.010281315073370934,0.5492231738052007
125,0,16,graph_p025,0.25,138.02926635742188,0.5,0.010315698571503162,0.6337818158586049
126,0,16,graph_p025,0.25,138.7301483154297,0.5,0.010284096002578735,0.6324504420450784
127,0,16,graph_p025,0.25,139.29861450195312,0.5,0.010339990258216858,0.6207072666949811
128,0,16,graph_p025,0.25,140.23057556152344,0.5,0.010351266711950302,0.6240681435970362
129,0,16,graph_p025,0.25,140.5590057373047,0.5,0.010371861979365349,0.5488586118709853
130,0,16,graph_p025,0.25,141.86117553710938,0.5,0.010355786420404911,0.5824846325017533
131,0,16,graph_p025,0.25,142.28453063964844,0.5,0.010294212028384209,0.7468145111199683
132,0,16,graph_p025,0.25,143.3082275390625,0.5,0.010366206988692284,0.9178469801843184
133,0,16,graph_p025,0.25,143.57984924316406,0.5,0.010354557074606419,1.6435188230244666
134,0,16,graph_p025,0.25,144.44613647460938,0.5,0.010410166345536709,1.568726879347759
135,0,16,graph_p025,0.25,145.3579864501953,0.5,0.01038384810090065,1.5490180230150896
136,0,16,graph_p025,0.25,145.98599243164062,0.5,0.010401037521660328,1.5170224158917711
137,0,16,graph_p025,0.25,147.02427673339844,0.5,0.010399769991636276,1.5018276325492248
138,0,16,graph_p025,0.25,147.64743041992188,0.5,0.010333982296288013,1.4801270912632014
139,0,16,graph_p025,0.25,148.3857421875,0.5,0.010376694612205029,1.6058683364650597
140,0,16,graph_p025,0.25,148.76414489746094,0.5,0.010367542505264282,1.5913981484060522
141,0,16,graph_p025,0.25,149.55258178710938,0.5,0.010378841310739517,1.5961889158822329
142,0,16,graph_p025,0.25,150.25144958496094,0.5,0.010379033163189888,1.5303148317293056
143,0,16,graph_p025,0.25,150.9141082763672,0.5,0.010417922399938107,1.5278032103586676
144,0,16,graph_p025,0.25,151.4236297607422,0.5,0.010371146723628044,1.617478958752823
145,0,16,graph_p025,0.25,152.3426513671875,0.5,0.010351729579269886,1.7056591452187386
146,0,16,graph_p025,0.25,153.00393676757812,0.5,0.010349920019507408,1.5716969698342071
147,0,16,graph_p025,0.25,153.58425903320312,0.5,0.010406632907688618,1.4717782706207396
148,0,16,graph_p025,0.25,154.05572509765625,0.5,0.010451761074364185,1.5700927476188107
149,0,16,graph_p025,0.25,155.029052734375,0.5,0.010433392599225044,1.5681731055641042
150,0,16,graph_p025,0.25,155.60658264160156,0.5,0.010454028844833374,1.7234989595188324
151,0,16,graph_p025,0.25,155.8086700439453,0.5,0.010384125635027885,1.478791901582366
152,0,16,graph_p025,0.25,156.4647674560547,0.5,0.010362892411649227,1.5757892110929197
153,0,16,graph_p025,0.25,157.07537841796875,0.5,0.010432456620037556,1.4761830960369913
154,0,16,graph_p025,0.25,157.7482147216797,0.5,0.010393713600933552,1.4886267396688044
155,0,16,graph_p025,0.25,158.69557189941406,0.5,0.010403289459645748,1.6122574127014861
156,0,16,graph_p025,0.25,159.45863342285156,0.5,0.010405133478343487,1.8014653071466975
157,0,16,graph_p025,0.25,159.73570251464844,0.5,0.010405261069536209,1.5599382111051656
158,0,16,graph_p025,0.25,160.24484252929688,0.5,0.010365549474954605,1.52780628255237
159,0,16,graph_p025,0.25,161.2540740966797,0.5,0.010412153787910938,1.5320663817066007
160,0,16,graph_p025,0.25,162.1542205810547,0.5,0.010512377135455608,1.5355558523835844
161,0,16,graph_p025,0.25,162.4696044921875,0.5,0.010433698073029518,1.6669501388778805
162,0,16,graph_p025,0.25,163.11172485351562,0.5,0.010389314964413643,1.5811903738260356
163,0,16,graph_p025,0.25,163.62339782714844,0.5,0.010412715375423431,1.6017586094893064
164,0,16,graph_p025,0.25,164.3928680419922,0.5,0.01040815282613039,1.619104971456499
165,0,16,graph_p025,0.25,165.49160766601562,0.5,0.010447261855006218,1.5785941412595714
166,0,16,graph_p025,0.25,165.6214599609375,0.5,0.010431990958750248,1.557252162720466
