n,R,n_pairs,p,mean_edges,full_time_mean,full_time_std,sample_time_mean,sample_time_std,speedup,SND_full
4,16384,6,0.1,0.35,0.002071527099999937,0.0002966891327754467,0.00011951245000005884,0.00015458667827983428,17.33314897317323,0.09599032253026962
4,16384,6,0.25,1.8,0.002071527099999937,0.0002966891327754467,0.0005765082499999963,0.0003390484320665734,3.593230625927643,0.09599032253026962
4,16384,6,0.5,2.55,0.002071527099999937,0.0002966891327754467,0.0008865167000001062,0.000378164075790392,2.3367039786161823,0.09599032253026962
4,16384,6,0.75,4.4,0.002071527099999937,0.0002966891327754467,0.0016315229500001305,0.0005439169390967477,1.2696892188980677,0.09599032253026962
4,16384,6,1.0,6.0,0.002071527099999937,0.0002966891327754467,0.001991674750000083,0.0003054020754062153,1.0400930674046305,0.09599032253026962
8,32768,28,0.1,2.65,0.01700231444999991,0.0006851187231224737,0.001639314649999868,0.0011439769839393084,10.37159916188224,0.11051174253225327
8,32768,28,0.25,6.4,0.01700231444999991,0.0006851187231224737,0.0038474206999998374,0.0014025527059638567,4.419146169796464,0.11051174253225327
8,32768,28,0.5,12.75,0.01700231444999991,0.0006851187231224737,0.0075618103500000085,0.0014551495736017178,2.2484449705882787,0.11051174253225327
8,32768,28,0.75,20.3,0.01700231444999991,0.0006851187231224737,0.01234411865000018,0.0012253103221857647,1.3773615542815332,0.11051174253225327
8,32768,28,1.0,28.0,0.01700231444999991,0.0006851187231224737,0.016792450099999988,0.0007506233710094014,1.0124975419757194,0.11051174253225327
16,65536,120,0.1,11.8,0.0997912895999999,0.0012839241131802613,0.009748129250000038,0.0027295902610338218,10.236968247010012,0.10729344934225082
16,65536,120,0.25,31.4,0.0997912895999999,0.0012839241131802613,0.02583243560000028,0.004065845715352495,3.8630228734606358,0.10729344934225082
16,65536,120,0.5,59.8,0.0997912895999999,0.0012839241131802613,0.049808377150000194,0.0034362580728516563,2.0035041354484187,0.10729344934225082
16,65536,120,0.75,90.15,0.0997912895999999,0.0012839241131802613,0.07571464794999967,0.0055031875111804926,1.3179918589319721,0.10729344934225082
16,65536,120,1.0,120.0,0.0997912895999999,0.0012839241131802613,0.09995182080000031,0.0014057411950182477,0.9983939142007064,0.10729344934225082
