iter,elapsed_s,reward_per_step,episodes,policy_loss,value_loss,entropy,kl
1,126.37,-0.015426,0,0.548652,0.208884,1.836140,-0.166146
2,253.88,-0.000213,0,0.576997,0.178652,1.832526,-0.166388
3,380.54,0.014868,0,0.503858,0.241719,1.829253,-0.165801
4,506.90,0.026657,0,0.540937,0.286297,1.825968,-0.164945
5,633.51,0.031987,0,0.497821,0.337064,1.822993,-0.165846
6,759.79,0.040609,0,0.448901,0.398351,1.819869,-0.165118
7,885.80,0.035462,0,1.922473,0.395742,1.816671,-0.164129
8,1011.78,0.040145,0,0.420697,0.352968,1.813961,-0.163517
9,1137.80,0.040953,0,0.598928,0.404363,1.810918,-0.163392
10,1264.10,0.046083,0,0.758910,0.447605,1.808398,-0.163574
11,1390.33,0.037200,0,0.493392,0.347329,1.806245,-0.162080
12,1516.45,0.045590,0,0.432582,0.467162,1.803865,-0.162306
13,1642.92,0.043698,0,0.576621,0.484083,1.801330,-0.160325
14,1769.01,0.056196,0,0.519948,0.549827,1.799195,-0.160397
15,1895.81,0.072797,0,0.374744,0.731913,1.796683,-0.159679
16,2022.02,0.053515,0,0.904057,0.517312,1.793750,-0.159573
17,2148.29,0.055130,0,0.596208,0.510593,1.791432,-0.159781
18,2274.39,0.057890,0,0.383753,0.536644,1.789356,-0.158686
19,2400.38,0.058269,0,0.487820,0.604830,1.787041,-0.158653
20,2526.19,0.061893,0,0.462567,0.600303,1.784623,-0.156674
21,2651.99,0.069258,0,0.346079,0.643077,1.782209,-0.156839
22,2778.04,0.072049,0,0.596351,0.715716,1.779602,-0.157045
23,2904.05,0.065771,0,1.528813,0.594519,1.777322,-0.156511
24,3029.96,0.061839,0,0.480732,0.576172,1.775604,-0.155596
25,3155.86,0.065008,0,0.328117,0.533986,1.773631,-0.155391
26,3283.20,0.072194,0,0.616476,0.613683,1.771262,-0.156072
27,3409.04,0.061744,0,0.546369,0.504587,1.769003,-0.155311
28,3535.01,0.070496,0,0.506529,0.639039,1.766774,-0.154446
29,3661.05,0.059185,0,0.436137,0.448843,1.764491,-0.154874
30,3787.38,0.059610,0,0.395842,0.443427,1.761983,-0.154247
31,3913.55,0.061503,0,0.653224,0.435693,1.759513,-0.153073
32,4039.75,0.073254,0,0.523709,0.529163,1.757416,-0.151174
33,4165.88,0.077869,0,0.490178,0.528446,1.755486,-0.152655
34,4292.26,0.082262,0,0.595289,0.634241,1.753541,-0.152660
35,4418.39,0.086775,0,0.433907,0.581389,1.751837,-0.151692
36,4544.54,0.093003,0,0.522414,0.729845,1.749967,-0.151877
37,4671.02,0.085152,0,0.576816,0.567957,1.748086,-0.150502
38,4797.15,0.087133,0,0.510724,0.561047,1.746248,-0.149527
39,4923.55,0.088399,0,0.400791,0.527894,1.744477,-0.150642
40,5050.00,0.079761,0,0.345524,0.359681,1.742309,-0.147563
41,5175.83,0.085163,0,0.390130,0.476601,1.739895,-0.150173
42,5301.65,0.065859,0,0.571517,0.324087,1.737358,-0.147619
43,5427.73,0.068226,0,0.493043,0.358248,1.735143,-0.147664
44,5553.70,0.074731,0,0.369250,0.336295,1.732913,-0.147896
45,5679.78,0.076620,0,0.401765,0.371011,1.730487,-0.147760
46,5805.82,0.067494,0,0.359888,0.294533,1.728003,-0.147502
47,5932.14,0.077512,0,0.439243,0.368810,1.725481,-0.146009
48,6058.15,0.078776,0,0.483949,0.353529,1.723230,-0.143242
49,6184.23,0.062251,0,0.497409,0.334267,1.721348,-0.144804
50,6310.40,0.083397,0,0.379951,0.376304,1.719580,-0.145063
51,6438.28,0.080912,0,0.368726,0.277639,1.717549,-0.143988
52,6564.89,0.093156,0,0.387036,0.394966,1.715249,-0.143811
53,6690.92,0.084005,0,0.384565,0.349411,1.712838,-0.143673
54,6817.30,0.097615,0,0.466880,0.385707,1.710573,-0.142350
55,6943.65,0.081669,0,0.944243,0.345891,1.708684,-0.140750
56,7069.56,0.082908,0,0.353952,0.300690,1.707207,-0.141363
57,7195.72,0.096952,0,0.425110,0.434112,1.705604,-0.141627
58,7322.37,0.085180,0,0.335362,0.313886,1.703709,-0.140690
59,7448.83,0.083197,0,0.356504,0.294017,1.701470,-0.139449
60,7574.80,0.094143,0,0.345102,0.325571,1.699215,-0.138929
61,7700.87,0.085659,0,0.364326,0.271348,1.696727,-0.138598
62,7826.99,0.088934,0,0.274143,0.334495,1.694011,-0.137748
63,7953.79,0.087775,0,0.283777,0.331535,1.691399,-0.137123
64,8079.73,0.096836,0,0.319889,0.322076,1.688833,-0.134986
65,8206.26,0.100025,0,0.386426,0.296194,1.686304,-0.136573
66,8332.35,0.097768,0,0.346548,0.264449,1.684066,-0.136753
67,8458.58,0.095775,0,0.315474,0.277642,1.681905,-0.135141
68,8584.50,0.105276,0,0.331473,0.308213,1.679507,-0.134275
69,8710.88,0.115621,0,0.548514,0.352305,1.676997,-0.134207
70,8836.88,0.116192,0,0.348971,0.302309,1.674822,-0.130922
71,8963.01,0.110410,0,0.412266,0.263820,1.672685,-0.132961
72,9089.38,0.108726,0,0.587159,0.308387,1.670684,-0.132901
73,9215.49,0.110499,0,3.125514,0.295777,1.669065,-0.131162
74,9341.59,0.110472,0,0.412944,0.324925,1.667528,-0.131525
75,9467.61,0.113306,0,0.417227,0.298942,1.665673,-0.131228
76,9595.27,0.110393,0,0.412402,0.303133,1.663828,-0.131527
77,9721.34,0.107170,0,0.495690,0.332580,1.661986,-0.129907
78,9847.71,0.094842,0,0.370466,0.289345,1.660173,-0.130971
79,9973.96,0.110024,0,0.580842,0.322757,1.658207,-0.130614
80,10100.47,0.113283,0,0.323133,0.333940,1.656369,-0.129021
81,10226.76,0.094843,0,0.467137,0.329057,1.654246,-0.129497
82,10353.41,0.112446,0,0.511528,0.339034,1.652186,-0.129187
83,10479.54,0.100267,0,0.326516,0.351230,1.650296,-0.128819
84,10605.85,0.098109,0,0.308677,0.293213,1.648194,-0.127455
85,10731.96,0.104921,0,0.439501,0.338446,1.646056,-0.126782
86,10858.12,0.117848,0,0.385220,0.335679,1.644198,-0.127036
